Name,I1,N1,I2,N2,I3,N3,I4,N4,I5,N5,I6,N6,I7,N7,I8,N8,I9,N9,I10,N10,I11,N11,I12,N12,I13,N13,I14,N14,I15,N15,I16,N16,I17,I18,N18,I19,N19,I20,N20
Dr. Reckeweg Hepar Sulphur Dilution 200 CH,Apis mellifica,75,Calcium sulphide,175,Calcarea hypophosphorosa,163,Echinacea angustifolia,304,Silica,726,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
Dr. Reckeweg Hepar Sulphur Dilution 30 CH,Apis mellifica,75,Calcium sulphide,175,Calcarea hypophosphorosa,163,Echinacea angustifolia,304,Silica,726,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
Dr. Reckeweg Hydrangea Mother Tincture Q,Hydrangea Arborescens,419,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
Dr. Reckeweg Hypericum Per Dilution 200 CH,Treats hyperhydrosis,819,Reduces nervousness,648,Relieves headache,659,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
Dr. Reckeweg Ignatia Amara Dilution 200 CH,hysterical vomiting,431,camphor,184,etc.,317,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
Dr. Reckeweg Kalmegh Mother Tincture Q,or talk,596,onion,593,hing,412,mint,538,camphor,184,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
Dr. Reckeweg Lycopodium Dilution 1000 CH,onion,593,hing,412,mint,538,camphor,184,garlic etc.,352,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
Dr. Reckeweg Lycopodium Dilution 200 CH,onion,593,hing,412,mint,538,camphor,184,garlic etc.,352,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
Dr. Reckeweg Lycopodium Dilution 30 CH,onion,593,hing,412,mint,538,camphor,184,garlic etc.,352,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
Dr. Reckeweg Natrum Mur Dilution 30 CH,Natrum Muriaticum,561,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
Dr. Reckeweg Natrum Phosphoricum Biochemic Tablet 6X,hyperacidity,424,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
Dr. Reckeweg Nuphar Luteum Mother Tincture Q,Nuphar Lutea,583,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
Dr. Reckeweg Nux Vomica Dilution 10M CH,cold,237,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
Dr. Reckeweg Nux Vomica Dilution 200 CH,cold,237,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
Dr. Reckeweg Nux Vomica Dilution 30 CH,cold,237,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
Dr. Reckeweg Phosphorus Dilution 30 CH,Phosphorous Dilution,610,pneumonia,623,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
Dr. Reckeweg Phytolacca Berry Mother Tincture Q,Phytolacca Berry,614,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
Dr. Reckeweg Podophyllum Peltatum Dilution 30 CH,Podophyllinum,624,hing,412,garlic,351,onion etc.,594,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
Dr. Reckeweg Pothos Foetida Mother Tincture Q,Lactose,488,Ethanol,318,Water,856,Cures headaches,273,Cures asthma,270,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
Dr. Reckeweg R1 Inflammation Drop,Apis melifica,74,Barium chloratum,109,Belladona,115,Calcium jodatum,173,Hepar sulfuris,409,Kalium bichromicum,473,Marum verum,525,Phytolacca,613,mucous membranes,543,and glands,50,pharyngeal cavity,609,and pharynx,57,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
Dr. Reckeweg R11 Rheumatism Drop,Berberis,120,Calcium phosphoricum,174,Causticum Hahnemanni,204,Rhododendron,671,Rhus toxicodendron,676,rigid,681,tendons,790,muscles,546,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
Dr. Reckeweg R14 Nerve And Sleep Drop,However,417,light sleep,502,sleeplessness,737,Neurasthenia,574,nightmares,578,neurasthenia,574,hypochondria,428,and sedative,60,Thereupon,797,onion,593,hing,412,mint,538,camphor,184,garlic etc.,352,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
Dr. Reckeweg R16 Migraine and Neuralgia Drop,Cimicifuga,219,Gelsemium,357,Iris,452,Sanguinaria,701,Spigelia,755,Allievates vomiting,29,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
Dr. Reckeweg R17 Glandular Enlargement Drop,Acidum lacticum,9,Naja tripudians,553,Scrophularia nodosa,713,mucous membrane,542,scales,707,and warts,65,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
Dr. Reckeweg R19 Glandular Drops for Men,Glandulae suprarenales,366,Hypophysis,429,Testis,792,Thyreoidinum,805,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
Dr. Reckeweg R23 Eczema Drop,Apis mellifica,75,Arsen. Alb.,84,Rhus Tox.,675,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
Dr. Reckeweg R3 Heart Drop,suffocation,772,painful spasms,601,hypotension,430,If not,432,onion,593,hing,412,mint,538,camphor,184,garlic etc.,352,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
Dr. Reckeweg R30 Universal Ointment,Atropinum,95,Calendula,176,Echinacea Angustifolia,304,Hamamelis,386,Millefolium,537,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
Dr. Reckeweg R46 Rheumatism Of Forearms And Hands Drop,Ferrum phosphoricum,336,Lithium carbonicum,505,Nux vomica,584,Natrium sulfuricum,557,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
Dr. Reckeweg R53 Acne Vulgaris And Pimples Drop,Hepar sulfur,408,Ledum,496,Juglans,461,Natrium chloratum,556,psoriasis,633,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
Dr. Reckeweg R57 Pulmonary Tonic,Arsenum Jodatum,88,Calcium Carbonicum,172,Hahnemanni,383,Lycopodium,512,Silicea,727,Teucrium scorodonia,793,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
Dr. Reckeweg R6 Influenza Drop,cold,237,headaches,393,piercing pains,616,hollow cough,416,low pulse,507,sleeplessness,737,onion,593,hing,412,mint,538,camphor,184,garlic etc.,352,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
Dr. Reckeweg R65 Psoriasis Drop,onion,593,hing,412,mint,538,camphor,184,garlic etc.,352,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
Dr. Reckeweg R70 Neuralgia Drop,Cedron,205,Colocynthis,240,Kalmia,480,Verbascum,843,onion,593,hing,412,mint,538,camphor,184,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,#N/A,,#N/A
